"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target","Target Pathogen (del)","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001PJuck","a266900000AWLHs","30.08.2022","India","South-East Asia","mylabglobal.com","Mylab Discovery Solutions Pvt. Ltd.","Monkey Pox Antigen test and Monkey Pox Antibody test","Mpox","Mpox virus","Early Stage Development (partial prototype)","None","Immunoassay","Antibody (serological) + Antigen","MPX Antigen; MPX IgG; MPX IgM","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasopharyngeal swab; Whole Blood; Lesion crusts; Lesion roof; Lesion fluid","5.00","Not applicable","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","No available data"
"a0B6900001OTPYq","a2669000009j1vB","25.06.2022","United States","Americas","healgen.com","Healgen Scientific LLC.","Monkeypox Virus Detection Kit (Fluorescence PCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene; Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Serum; Plasma; Lesion crusts; Lesion roof; Lesion fluid","65.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","","Instructions for Use (IFU)"
"a0B6900001OTSF8","a2669000009j1wx","28.06.2022","China","Western Pacific","bioantibody.net","Bioantibody Biotechnology Co., Ltd.","Monkeypox Virus Real Time PCR Kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Lesion fluid","60.00","No","No","Yes","Yes","None","Company-Sponsored","95.00","99.05","40","105","145","","","Instructions for Use (IFU)"
"a0B6900001OTSyr","a2669000009j1x7","28.06.2022","China","Western Pacific","sansureglobal.com","Sansure Biotech Inc.","Monkeypox virus Nucleic Acid Diagnostic Kit (PCR-Fluorescence Probing)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Serum; Whole Blood; Lesion crusts; Lesion fluid; Other","52.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","","Instructions for Use (IFU)"
"a0B6900001PJS2a","a2669000009j23U","10.08.2022","China","Western Pacific","xiamenbiotime.com","Xiamen Biotime Biotechnology Co., Ltd.","Detection Kit for Monkeypox Virus (Real-time PCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","","Company website"
"a0B6900001OTqY4","a2669000009j2FW","12.07.2022","United States","Americas","firegene.com","FireGene Inc","FireGene's Monkeypox Virus Nucleic Acid Detection Kit (Real-time PCR Method)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD; China NMPA","Molecular","DNA","OPX E9L; Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva; Finger prick blood; Wound swab; Other","40.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","","Instructions for Use (IFU)"
"a0B6900001OU4JN","a2669000009j2TA","21.07.2022","China","Western Pacific","en.bio-germ.com","Shanghai BioGerm Medical Technology Co., Ltd.","Monkeypox Virus Nucleic Acid Detection Kit (PCR-Fluorescence Probing)","Mpox","Mpox virus","Regulatory Status Unknown","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Oropharyngeal swab; Serum; Lesion fluid","47.00","No","","Yes","Yes","","","","","","","","","",""
"a0B6900001OU4bv","a2669000009j2Te","21.07.2022","China","South-East Asia","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus DNA Real Time Diagnostic Kit (Freeze-dried)","Mpox","Mpox virus","Regulatory Achieved","Germany BfArM","Molecular","DNA","Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Whole Blood; Wound swab; Lesion crusts","52.00","No","","Yes","Yes","","Company-Sponsored","","","","","","","","Instructions for Use (IFU)"
"a0B6900001OU6Oy","a2669000009j2W9","22.07.2022","China","South-East Asia","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus DNA Real Time Diagnostic Kit","Mpox","Mpox virus","Regulatory Achieved","Germany BfArM","Molecular","DNA","Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Whole Blood; Wound swab; Lesion crusts","52.00","No","","Yes","Yes","","Company-Sponsored","","","","","","","","Instructions for Use (IFU)"
"a0B6900001OUAcp","a2669000009j2a2","26.07.2022","China","South-East Asia","hotgen.com.cn","Beijing Hotgen Biotech Co., Ltd","Monkeypox Virus Real-time PCR kit","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Oropharyngeal swab; Saliva; Serum; Plasma; Lesion crusts; Lesion fluid","35.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUB4o","a2669000009j2aH","26.07.2022","Korea, Republic of","South-East Asia","khmedical.co.kr","KH Medical Co., Ltd","RADI Monkeypox Detection Kit","Mpox","Mpox virus","Validation","CE-IVDD","Molecular","DNA","Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood; Wound swab; Lesion crusts","40.00","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","114","84","198","","","Unpublished data"
"a0B6900001OUB8H","a2669000009j2ag","26.07.2022","India","South-East Asia","neodx.in","NeoDx","Human Monkeypox Virus (MPXV) Multiplex RT PCR Detection Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","MPX G2R gene; Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Other","60.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUDku","a2669000009j2cm","27.07.2022","Italy","Europe","clonit.it","Clonit Srl","Real-Time PCR Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","Unknown","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified DNA; Lesion crusts; Lesion fluid","90.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUGkO","a2669000009j2fM","29.07.2022","China","Western Pacific","tlgenetech.cn","Xi'an Tianlong  Science and Technology Co., Ltd","Monkeypox Virus Nucleic Acid Detection Kit (Fluorescence PCR Method)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Lesion fluid","60.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001OUKXJ","a2669000009j2ho","01.08.2022","China","Western Pacific","en.bioustar.com","Ustar Biotechnologies (Hangzhou) Ltd.","EasyNAT Monkeypox Virus","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","Isothermal NAT(other)","Cartridge-based processing","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Purified DNA","50.00","Yes","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001PJN8J","a266900000AWKoq","05.08.2022","China","South-East Asia","genscript.com","Genscript","Monkeypox RTPCR Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","MPX D6R gene; MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Lesion fluid","30.00","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","99","201","300","","",""
"a0B6900001PJS2a","a266900000AWKsr","10.08.2022","China","Western Pacific","xiamenbiotime.com","Xiamen Biotime Biotechnology Co., Ltd.","Detection Kit for Monkeypox Virus (Real-time PCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Oropharyngeal swab; Purified DNA; Wound swab; Lesion crusts; Lesion roof; Lesion fluid","70.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PJLSv","a266900000AWKvx","05.08.2022","China","Western Pacific","era-bio.com","Genobio Pharmaceutical Co., Ltd.","Monkeypox Virus Molecular Detection Kit (Real-time RT-PCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Wound swab; Lesion crusts; Lesion fluid","40.00","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","100","100","200","","",""
"a0B6900001PJZiZ","a266900000AWL09","16.08.2022","Korea, Republic of","Western Pacific","optolane.com","Optolane Technologies, Inc.","Kaira Monkeypox Detection Kit","Mpox","Mpox virus","Research Use Only (RUO)","Brazil ANVISA","Molecular","DNA","Other","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Lesion fluid","40.00","No","No","Yes","Yes","","Company-Sponsored","","","","","","","","No available data"
"a0B6900001PJkXI","a266900000AWL9Y","23.08.2022","China","South-East Asia","bioresource.com.cm","Abiores Technology (Beijing) Co.,Ltd.","Monkeypox Virus Fluorescence PCR Kit (Direct qPCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","A proprietary/new instrument is optional","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood; Other","87.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001PJle5","a266900000AWLAv","24.08.2022","China","South-East Asia","bioresource.com.cm","Abiores Technology (Beijing) Co.,Ltd.","Bio-resource Monkeypox Virus Fluorescence PCR Kit(Direct qPCR)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood; Lesion fluid","87.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","",""
"a0B6900001U43go","a266900000AWLwU","15.09.2022","China","Western Pacific","bioteke.cn","Bioteke Corporation Co., ltd.","Monkeypox Virus nucleic acid detection kit (Fluorescence PCR method)","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","MPX F3L gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Lesion fluid","25.00","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001PDoB2","a266900000AWO8x","26.05.2022","United States","Americas","abbott.com","Abbott Laboratories","Alinity m MPXV","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","DNA","Unknown","qPCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Other","","No","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","36","35","71","","","Instructions for Use (IFU)"
"a0B6900001U6Q2w","a266900000AWO9f","14.12.2022","United States","Americas","diagnostics.roche.com","Roche Molecular Systems","cobas MPXV","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","DNA","Unknown","qPCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Lesion fluid; Other","","Yes","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001U6Q2w","a266900000AWO9p","14.12.2022","United States","Americas","diagnostics.roche.com","Roche Molecular Systems","cobas MPXV","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","DNA","Unknown","qPCR","NAT reagent kit (proprietary platform)","A proprietary/new instrument is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Lesion fluid; Other","","Yes","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","30","47","77","","","Instructions for Use (IFU)"
"a0B6900001U7lL2","a266900000AWP4d","06.02.2023","France","Europe","biomerieux-diagnostics.com","bioMérieux","MONKEYPOX R-GENE","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","MPX F3L gene; MPX G2R gene","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","0.00","0.00","0","0","0","","","Instructions for Use (IFU)"
"a0B6900001VhC4X","a266900000B8tPf","13.07.2023","United States","Americas","cuehealth.com","Cue Health","Cue Mpox (Monkeypox) Molecular Test","Mpox","Mpox virus","Regulatory Achieved","US FDA EUA","Molecular","DNA","Other","RT-isothermal NAT (other)","Cartridge-based processing","A proprietary/new instrument is required","Fully automated (including sample preparation)","True Point of Care","Intended for professional use only","Lesion fluid","","Yes","No","Yes","Yes","None","Company-Sponsored","100.00","100.00","30","29","59","","","Instructions for Use (IFU)"
"a0B6900001PDnuQ","a266900000BBnaV","25.05.2022","United States","Americas","creative-biogene.com","Creative Biogene","Monkeypox Virus Real Time PCR Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","Unknown","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Lesion fluid","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDnuG","a266900000BBnaW","25.05.2022","China","Western Pacific","sansureglobal.com","Sansure Biotech Inc.","Monkeypox virus Nucleic Acid Diagnostic Kit","Mpox","Mpox virus","Research Use Only (RUO)","None","Molecular","DNA","Unknown","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001PDnuH","a266900000BBnaX","25.05.2022","China","Western Pacific","daangene.com","Guangzhou DaAn Gene Co., Ltd","Monkeypox virus nucleic acid detection kit (fluorescence PCR method) ","Mpox","Mpox virus","Regulatory Achieved","CE-IVDD","Molecular","DNA","Unknown","qPCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified DNA","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
